Issue Type,Issue ID,Parent ID,Summary,Epic Name,Story Points,Priority,Labels,Component,Sprint,Description,Blocked By,Blocked By,Blocked By
Epic,1000,,E1 – Nền móng & Hạ tầng,E1 Nền móng,,Highest,foundation,platform,,"h3. Mục tiêu
Dựng monorepo, thư viện dùng chung, môi trường local, CI/CD và observability để mọi đội phát triển song song trên cùng một chuẩn.

h3. Phạm vi
* Monorepo Go + pnpm + uv, Makefile thống nhất
* libs/go: httpx, otelx, mq, idem, outbox
* docker-compose đầy đủ hạ tầng + service
* Migration goose, CI pipeline, template service

h3. Tiêu chí hoàn thành epic
# `make up` khởi động toàn hệ, `make smoke` chạy qua 1 luồng mua vé
# Một trace duy nhất xuyên ≥ 3 service trong Jaeger
# CI chặn PR khi lint/test/scan fail hoặc coverage domain/app < 70%

h3. Rủi ro chính
Nền móng chậm sẽ kéo lùi toàn bộ đường tới hạn — phải xong trong Sprint 0.",,,
Story,1001,1000,"Khởi tạo monorepo: go.work, pnpm workspace, uv, Makefile",,3,Highest,foundation devex,platform,Sprint 0,"h3. User story
Là lập trình viên, tôi muốn một monorepo có lệnh thống nhất để cài đặt, lint, test và build mọi service chỉ từ thư mục gốc.

h3. Bối cảnh
Dự án gồm service Go, ai-worker Python và web Next.js. Cần một cách làm việc chung để không mỗi thành viên tự dựng môi trường riêng.

h3. Phạm vi công việc
* Cấu hình go.work gom toàn bộ module Go (services/*, libs/go)
* pnpm-workspace cho apps/web và packages/*
* uv cho services/ai-worker
* Makefile với các target bootstrap, lint, test, build, up, down, smoke
* Cập nhật README hướng dẫn chạy lần đầu

h3. Tiêu chí nghiệm thu (AC)
# `make bootstrap` cài đủ phụ thuộc Go, Node, Python trên máy mới
# `make lint`, `make test`, `make build` chạy thành công từ thư mục gốc
# README mô tả đủ các bước từ clone tới chạy được local

h3. Hiện trạng mã nguồn
Đã có go.work, pnpm-workspace.yaml, Makefile — cần rà soát và bổ sung target còn thiếu.

h3. Tham chiếu
Mã backlog: EVF-1 · docs/03-cau-truc-src.md mục 1

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",,,
Story,1002,1000,"libs/go/httpx: router, middleware và lỗi chuẩn RFC 7807",,5,Highest,foundation go,platform,Sprint 0,"h3. User story
Là lập trình viên backend, tôi muốn một thư viện HTTP dùng chung để mọi service có cùng middleware và định dạng lỗi.

h3. Bối cảnh
8 service Go cần xử lý HTTP đồng nhất: phục hồi panic, log có cấu trúc, trace, xác thực, rate-limit và trả lỗi theo một chuẩn duy nhất.

h3. Phạm vi công việc
* Router + các middleware: recover, structured log, trace, auth (JWT), ratelimit, hook idempotency
* Kiểu lỗi chuẩn RFC 7807 (application/problem+json)
* Endpoint health/readiness mẫu

h3. Tiêu chí nghiệm thu (AC)
# Mỗi middleware có unit test riêng
# Panic trong handler trả 500 dạng RFC 7807, không làm chết process
# Log mỗi request có trace_id, method, path, status, latency

h3. Phụ thuộc
Cần hoàn thành trước: EVF-1 (Khởi tạo monorepo: go.work, pnpm workspace, uv, Makefile)

h3. Tham chiếu
Mã backlog: EVF-2 · docs/03-cau-truc-src.md mục 3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1001,,
Story,1003,1000,"libs/go/otelx: OpenTelemetry trace + Prometheus metric, lan truyền qua AMQP header",,5,Highest,foundation observability,platform,Sprint 0,"h3. User story
Là SRE, tôi muốn theo dõi một request xuyên suốt qua HTTP và RabbitMQ để khoanh vùng sự cố nhanh trong giờ mở bán.

h3. Bối cảnh
Luồng mua vé đi qua nhiều service và hàng đợi bất đồng bộ; thiếu trace liên tục thì không thể chẩn đoán độ trễ.

h3. Phạm vi công việc
* Khởi tạo tracer, meter, logger chuẩn
* Propagate trace context qua HTTP header và AMQP message header
* Expose /metrics cho Prometheus

h3. Tiêu chí nghiệm thu (AC)
# Một trace duy nhất xuyên ≥ 3 service (có cả bước qua RabbitMQ) nhìn thấy trong Jaeger
# Metric HTTP chuẩn (request_total, duration histogram) có sẵn ở mọi service

h3. Phụ thuộc
Cần hoàn thành trước: EVF-1 (Khởi tạo monorepo: go.work, pnpm workspace, uv, Makefile)

h3. Tham chiếu
Mã backlog: EVF-3 · docs/02-kien-truc.md mục 6

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1001,,
Story,1004,1000,docker-compose local đầy đủ hạ tầng và service,,5,Highest,foundation devex,platform,Sprint 0,"h3. User story
Là lập trình viên, tôi muốn chạy toàn bộ hệ thống trên máy cá nhân bằng một lệnh để phát triển và kiểm thử end-to-end.

h3. Bối cảnh
Cần môi trường local gần giống production: Postgres, PgBouncer, Redis, RabbitMQ, MinIO, Jaeger, Prometheus, Grafana và toàn bộ service.

h3. Phạm vi công việc
* Compose cho hạ tầng + mọi service, có healthcheck
* Nạp topology RabbitMQ từ definitions.json
* Script seed dữ liệu mẫu
* Target `make smoke` chạy 1 luồng mua vé end-to-end

h3. Tiêu chí nghiệm thu (AC)
# `make up` khởi động toàn bộ, mọi container healthy
# `make smoke` chạy qua 1 luồng mua vé end-to-end
# Một trace duy nhất xuyên ≥ 3 service nhìn thấy trong Jaeger

h3. Phụ thuộc
Cần hoàn thành trước: EVF-1 (Khởi tạo monorepo: go.work, pnpm workspace, uv, Makefile)

h3. Hiện trạng mã nguồn
Đã có deploy/compose/docker-compose.yml và Dockerfile — cần hoàn thiện healthcheck và smoke test.

h3. Tham chiếu
Mã backlog: EVF-4 · docs/02-kien-truc.md mục 7

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1001,,
Story,1005,1000,Khung migration goose + schema khởi tạo,,3,Highest,foundation db,platform,Sprint 0,"h3. User story
Là lập trình viên, tôi muốn quản lý schema bằng migration có version để mọi môi trường có cấu trúc DB giống nhau.

h3. Bối cảnh
Schema là nguồn sự thật cho tồn kho và đơn hàng; thay đổi phải truy vết được và chỉ tiến trên production.

h3. Phạm vi công việc
* Tích hợp goose, quy ước đặt tên NNNN_mo_ta.sql
* Schema khởi tạo cho các bảng lõi
* Target make migrate-up / migrate-down

h3. Tiêu chí nghiệm thu (AC)
# `make migrate-up` và `make migrate-down` chạy sạch trên DB trống
# Tài liệu ghi rõ quy tắc forward-only trên production

h3. Phụ thuộc
Cần hoàn thành trước: EVF-4 (docker-compose local đầy đủ hạ tầng và service)

h3. Hiện trạng mã nguồn
Đã có migrations/0001_core.sql.

h3. Tham chiếu
Mã backlog: EVF-5 · docs/02-kien-truc.md mục 4

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1004,,
Story,1006,1000,CI pipeline: lint → unit → integration → build → Trivy scan,,5,Highest,foundation ci,platform,Sprint 0,"h3. User story
Là trưởng nhóm kỹ thuật, tôi muốn mọi PR được kiểm tra tự động để lỗi không lọt vào nhánh chính.

h3. Bối cảnh
Nhiều ngôn ngữ, nhiều service; cần một pipeline chung bảo đảm chất lượng tối thiểu và an toàn image.

h3. Phạm vi công việc
* Job lint, unit test, integration test (testcontainers), build image, Trivy scan
* Chỉ build lại service bị ảnh hưởng
* Báo cáo coverage

h3. Tiêu chí nghiệm thu (AC)
# PR bị chặn khi bất kỳ bước nào fail
# PR bị chặn khi coverage domain/app < 70%
# Trivy phát hiện lỗ hổng CRITICAL thì chặn merge

h3. Phụ thuộc
Cần hoàn thành trước: EVF-1 (Khởi tạo monorepo: go.work, pnpm workspace, uv, Makefile)

h3. Tham chiếu
Mã backlog: EVF-6 · docs/02-kien-truc.md mục 7

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1001,,
Story,1007,1000,"libs/go/mq: publisher + consumer có retry/DLQ, khai báo topology",,5,Highest,foundation go mq,platform,Sprint 0,"h3. User story
Là lập trình viên backend, tôi muốn thư viện RabbitMQ dùng chung có retry và DLQ để xử lý message tin cậy mà không viết lại ở mỗi service.

h3. Bối cảnh
Nhiều luồng bất đồng bộ (outbox, thông báo, AI) cần cơ chế retry và dead-letter thống nhất.

h3. Phạm vi công việc
* Publisher có publisher-confirm
* Consumer có retry giới hạn số lần, chuyển DLQ khi vượt
* Khai báo topology bằng code, khớp definitions.json

h3. Tiêu chí nghiệm thu (AC)
# Message lỗi 3 lần đi vào DLQ, có test
# Trace context được giữ nguyên qua publish/consume

h3. Phụ thuộc
Cần hoàn thành trước: EVF-3 (libs/go/otelx: OpenTelemetry trace + Prometheus metric, lan truyền qua AMQP header)

h3. Hiện trạng mã nguồn
Topology đã khai báo ở deploy/rabbitmq/definitions.json.

h3. Tham chiếu
Mã backlog: EVF-7 · docs/03-cau-truc-src.md mục 3

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1003,,
Task,1008,1000,Template service Go (hexagonal) + generator tạo service mới,,3,High,foundation devex,platform,Sprint 0,"h3. Bối cảnh
Mọi service Go phải dùng chung layout hexagonal-lite; một generator giúp tạo service mới đúng chuẩn trong vài giây.

h3. Phạm vi công việc
* Template cmd/, internal/{config,domain,app,port,adapter}, test/
* Lệnh generator (make new-service name=...)
* Lint kiểm tra quy tắc phụ thuộc adapter → app → domain

h3. Tiêu chí nghiệm thu (AC)
# Tạo service mới bằng 1 lệnh, build và chạy được ngay
# Lint báo lỗi khi domain import package hạ tầng

h3. Phụ thuộc
Cần hoàn thành trước: EVF-2 (libs/go/httpx: router, middleware và lỗi chuẩn RFC 7807)

h3. Tham chiếu
Mã backlog: EVF-8 · docs/03-cau-truc-src.md mục 2

_Hoàn thành khi thoả mọi AC và Definition of Done chung (docs/04-jira-backlog.md)._",1002,,
Epic,1100,,E2 – Định danh & Bảo mật,E2 Định danh,,High,identity,identity,,"h3. Mục tiêu
Xác thực người dùng chắc chắn (OTP), cấp token an toàn và gắn identity ↔ thiết bị làm nền cho quy tắc 1 người 1 chỗ và anti-bot.

h3. Phạm vi
* Đăng ký/đăng nhập argon2id
* OTP SMS/email
* JWT + refresh token xoay vòng
* Device fingerprint
* RBAC 4 vai trò
* Mã hoá PII

h3. Tiêu chí hoàn thành epic
# Chưa verify OTP thì không xếp hàng được (BR-Q3)
# Ma trận quyền ở docs/01 được phủ bằng test
# Log không chứa PII dạng thường

h3. Rủi ro chính
Lỗ hổng xác thực cho phép nhân bản chỗ trong hàng chờ, phá vỡ tính công bằng.",,,
